Clave_Col,Colonia,Alcaldia,Num_UE,Num_comer,Sup_habit,Infra_Peato,Marginalidad,EspPub_Habit,Edu_Bas,Densidad_Vivienda
02-001,AGUILERA,AZCAPOTZALCO,116,63,10.3824811246,Alta,4,0,1,58.5623171097
02-002,ALDANA,AZCAPOTZALCO,121,52,15.4811632103,Alta,5,0,2,71.9610439029
02-003,AMPLIACION PETROLERA,AZCAPOTZALCO,41,20,13.5855571652,Alta,2,0,0,45.4911361937
02-005,ANGEL ZIMBRON,AZCAPOTZALCO,150,53,24.194042108,Media,2,1.15272,3,33.9769538146
02-006,ARENAL,AZCAPOTZALCO,273,164,28.6074629644,Alta,4,1.25228,4,47.2271646371
02-007,CENTRO DE AZCAPOTZALCO,AZCAPOTZALCO,979,509,42.4470632949,Alta,1,5.9243,7,26.9286401256
02-008,CLAVERIA,AZCAPOTZALCO,679,221,86.7157463599,Alta,3,2.26349,7,37.6761932294
02-009,COLTONGO,AZCAPOTZALCO,130,63,52.0823159346,Media,4,0.35188,4,19.0286498844
02-010,COSMOPOLITA,AZCAPOTZALCO,88,37,11.6014600859,Alta,3,0,0,64.3908072964
02-011,COSMOPOLITA (AMPL),AZCAPOTZALCO,49,17,7.61215717583,Alta,2,0,3,39.9375740154
02-012,CRUZ ROJA TEPANTONGO (U HAB),AZCAPOTZALCO,4,3,1.5215726746,Baja,3,0,0,198.485980679
02-013,CUITLHUAC 1 Y 2 (U HAB),AZCAPOTZALCO,22,9,11.4278504579,Nula,2,35.9191,3,68.1692753983
02-014,CUITLHUAC 3 Y 4 (U HAB),AZCAPOTZALCO,23,5,18.5091624801,Nula,2,36.9478,3,81.3140487007
02-015,DEL GAS,AZCAPOTZALCO,154,71,34.5621629504,Media,3,8.18861,3,73.4934506128
02-016,DEL GAS (AMPL),AZCAPOTZALCO,79,31,32.7180570602,Media,2,20.5231,2,71.2170963667
02-017,DEL MAESTRO,AZCAPOTZALCO,52,18,5.0526396969,Alta,1,0,1,42.1577137847
02-018,DEL RECREO,AZCAPOTZALCO,256,78,52.7589608775,Media,3,0.635411,6,60.8828746863
02-019,NA,NA,NA,NA,NA,Baja,3,0,0,554.422334124
02-020,NA,NA,NA,NA,NA,Nula,2,35.4985,0,56.9272689357
02-021,EL JAGUEY-ESTACION PANTACO,AZCAPOTZALCO,90,41,174.536155315,Media,3,95.1272,3,3.21435096345
02-023,EL ROSARIO A (U HAB),AZCAPOTZALCO,192,91,27.5424650804,Baja,3,5.12818,5,60.8900121404
02-024,EL ROSARIO B (U HAB),AZCAPOTZALCO,173,79,36.195495652,Nula,4,10.3587,5,86.0083184438
02-025,EL ROSARIO C (U HAB),AZCAPOTZALCO,581,255,103.814478782,Media,4,7.23217,10,25.5850320911
02-026,EUZKADI,AZCAPOTZALCO,85,39,24.8260063609,Alta,2,10.0306,3,48.096481931
02-027,EX-HACIENDA EL ROSARIO,AZCAPOTZALCO,80,17,50.7524897915,Media,1,145.279,1,12.4962756212
02-028,FERRERIA,AZCAPOTZALCO,54,31,16.7984020375,Baja,3,0,2,62.8058850935
02-029,FERRERIA (U HAB),AZCAPOTZALCO,17,11,4.16000490509,Nula,2,0.101952,0,248.386146204
02-030,FRANCISCO VILLA (U HAB),AZCAPOTZALCO,108,30,25.9544008531,Baja,2,2.79422,5,42.4606279852
02-031,NA,NA,NA,NA,NA,Baja,3,0,0,356.037281523
02-032,HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,AZCAPOTZALCO,162,56,30.1073410144,Media,2,1.00187,1,36.8029998593
02-033,HOGARES FERROCARRILEROS (U HAB),AZCAPOTZALCO,3,1,3.88607164859,Nula,1,18.6603,0,116.317069638
02-034,HUAUTLA DE LAS SALINAS (BARR),AZCAPOTZALCO,17,8,8.16669749658,Media,1,0,0,6.00019633144
02-035,IGNACIO ALLENDE,AZCAPOTZALCO,132,91,9.797303434,Media,3,11.3895,2,46.2389023038
02-036,INDUSTRIAL VALLEJO (U HAB),AZCAPOTZALCO,866,444,372.928275698,Alta,3,4.37869,4,0.871512839392
02-037,ISSFAM LAS ARMAS (U HAB),AZCAPOTZALCO,9,7,8.46925048986,Baja,1,47.0865,0,139.804963402
02-038,JARDIN AZPEITIA,AZCAPOTZALCO,140,48,25.5713830065,Media,2,3.3278,1,29.760914052
02-039,NA,NA,NA,NA,NA,Alta,1,0,0,0
